point,start_time_local,end_time_local,start_time_UTC,end_time_UTC
A13B6,2024-10-23 14:28:40,2024-10-23 14:31:40,2024-10-23 12:28:40,2024-10-23 12:31:40
A12B5,2024-10-23 14:33:15,2024-10-23 14:36:15,2024-10-23 12:33:15,2024-10-23 12:36:15
A13B4,2024-10-23 14:43:10,2024-10-23 14:46:10,2024-10-23 12:43:10,2024-10-23 12:46:10
A12B3,2024-10-23 14:47:50,2024-10-23 14:50:50,2024-10-23 12:47:50,2024-10-23 12:50:50
A13B2,2024-10-23 14:52:20,2024-10-23 14:55:20,2024-10-23 12:52:20,2024-10-23 12:55:20
A12B1,2024-10-23 14:56:20,2024-10-23 14:59:20,2024-10-23 12:56:20,2024-10-23 12:59:20
A11B2,2024-10-23 15:00:20,2024-10-23 15:03:20,2024-10-23 13:00:20,2024-10-23 13:03:20
A10B1,2024-10-23 15:04:10,2024-10-23 15:07:10,2024-10-23 13:04:10,2024-10-23 13:07:10
A10B3,2024-10-23 15:08:15,2024-10-23 15:11:15,2024-10-23 13:08:15,2024-10-23 13:11:15
A11B4,2024-10-23 15:12:10,2024-10-23 15:15:10,2024-10-23 13:12:10,2024-10-23 13:15:10
A10B5,2024-10-23 15:16:00,2024-10-23 15:19:00,2024-10-23 13:16:00,2024-10-23 13:19:00
A11B6,2024-10-23 15:19:45,2024-10-23 15:22:45,2024-10-23 13:19:45,2024-10-23 13:22:45
A09B6,2024-10-23 15:23:40,2024-10-23 15:26:40,2024-10-23 13:23:40,2024-10-23 13:26:40
A08B5,2024-10-23 15:27:30,2024-10-23 15:30:30,2024-10-23 13:27:30,2024-10-23 13:30:30
A09B4,2024-10-23 15:32:20,2024-10-23 15:35:20,2024-10-23 13:32:20,2024-10-23 13:35:20
A08B3,2024-10-23 15:36:25,2024-10-23 15:39:25,2024-10-23 13:36:25,2024-10-23 13:39:25
A09B2,2024-10-23 15:41:00,2024-10-23 15:44:00,2024-10-23 13:41:00,2024-10-23 13:44:00
A08B1,2024-10-23 15:47:10,2024-10-23 15:50:10,2024-10-23 13:47:10,2024-10-23 13:50:10
A06B6,2024-10-23 15:52:45,2024-10-23 15:55:45,2024-10-23 13:52:45,2024-10-23 13:55:45
A05B5,2024-10-23 15:56:55,2024-10-23 15:59:55,2024-10-23 13:56:55,2024-10-23 13:59:55
A06B4,2024-10-23 16:00:45,2024-10-23 16:03:45,2024-10-23 14:00:45,2024-10-23 14:03:45
A05B3,2024-10-23 16:04:25,2024-10-23 16:07:25,2024-10-23 14:04:25,2024-10-23 14:07:25
A06B2,2024-10-23 16:08:10,2024-10-23 16:11:10,2024-10-23 14:08:10,2024-10-23 14:11:10
A05B1,2024-10-23 16:12:40,2024-10-23 16:15:40,2024-10-23 14:12:40,2024-10-23 14:15:40
A03B1,2024-10-23 16:17:05,2024-10-23 16:20:05,2024-10-23 14:17:05,2024-10-23 14:20:05
A04B2,2024-10-23 16:21:35,2024-10-23 16:24:35,2024-10-23 14:21:35,2024-10-23 14:24:35
A03B3,2024-10-23 16:25:40,2024-10-23 16:28:40,2024-10-23 14:25:40,2024-10-23 14:28:40
A04B4,2024-10-23 16:29:30,2024-10-23 16:32:30,2024-10-23 14:29:30,2024-10-23 14:32:30
A03B5,2024-10-23 16:36:50,2024-10-23 16:39:50,2024-10-23 14:36:50,2024-10-23 14:39:50
A04B6,2024-10-23 16:40:45,2024-10-23 16:43:45,2024-10-23 14:40:45,2024-10-23 14:43:45
A02B6,2024-10-23 16:45:00,2024-10-23 16:48:00,2024-10-23 14:45:00,2024-10-23 14:48:00
A02B4,2024-10-23 16:51:30,2024-10-23 16:54:30,2024-10-23 14:51:30,2024-10-23 14:54:30
A02B2,2024-10-23 16:55:55,2024-10-23 16:58:55,2024-10-23 14:55:55,2024-10-23 14:58:55
A07B5,2024-10-23 17:06:15,2024-10-23 17:09:15,2024-10-23 15:06:15,2024-10-23 15:09:15
A07B3,2024-10-23 17:12:15,2024-10-23 17:15:15,2024-10-23 15:12:15,2024-10-23 15:15:15
A07B1,2024-10-23 17:16:25,2024-10-23 17:19:25,2024-10-23 15:16:25,2024-10-23 15:19:25
T01,2024-10-23 17:42:00,2024-10-23 17:45:00,2024-10-23 15:42:00,2024-10-23 15:45:00
T02,2024-10-23 17:46:10,2024-10-23 17:49:10,2024-10-23 15:46:10,2024-10-23 15:49:10
T03,2024-10-23 17:50:05,2024-10-23 17:53:05,2024-10-23 15:50:05,2024-10-23 15:53:05
A01B1,2024-10-23 17:54:10,2024-10-23 17:57:10,2024-10-23 15:54:10,2024-10-23 15:57:10
A01B2,2024-10-23 17:58:00,2024-10-23 18:01:00,2024-10-23 15:58:00,2024-10-23 16:01:00
A01B3,2024-10-23 18:01:50,2024-10-23 18:04:50,2024-10-23 16:01:50,2024-10-23 16:04:50
A01B4,2024-10-23 18:05:40,2024-10-23 18:08:40,2024-10-23 16:05:40,2024-10-23 16:08:40
A01B5,2024-10-23 18:09:25,2024-10-23 18:12:25,2024-10-23 16:09:25,2024-10-23 16:12:25
A01B6,2024-10-23 18:13:25,2024-10-23 18:16:25,2024-10-23 16:13:25,2024-10-23 16:16:25
T04,2024-10-23 18:17:40,2024-10-23 18:20:40,2024-10-23 16:17:40,2024-10-23 16:20:40
T05,2024-10-23 18:21:40,2024-10-23 18:24:40,2024-10-23 16:21:40,2024-10-23 16:24:40
T06,2024-10-23 18:25:35,2024-10-23 18:28:35,2024-10-23 16:25:35,2024-10-23 16:28:35
